id, time,pub0,sub
0,0,1.0,1.0
0,5,1.0,1.0
0,10,1.0,1.0
0,15,1.0,1.0
0,20,1.0,1.0
0,25,1.0,1.0
0,30,1.0,1.0
0,35,1.0,1.0
0,40,1.0,1.0
0,45,1.0,1.0
0,50,1.0,1.0
0,55,1.0,1.0
0,60,1.0,1.0
0,65,1.0,1.0
0,70,1.0,1.0
0,75,1.0,1.0
0,80,1.0,1.0
0,85,1.0,1.0
0,90,1.0,1.0
0,95,1.0,1.0
0,100,1.0,1.0
0,105,1.0,1.0
0,110,1.0,1.0
0,115,1.0,1.0
0,120,1.0,1.0
0,125,1.0,1.0
0,130,1.0,1.0
0,135,1.0,1.0
0,140,1.0,1.0
0,145,1.0,1.0
0,150,1.0,1.0
0,155,1.0,1.0
0,160,1.0,1.0
0,165,1.0,1.0
0,170,1.0,1.0
0,175,4.0,4.0
0,180,4.0,4.0
0,185,4.0,4.0
0,190,4.0,4.0
0,195,4.0,4.0
0,200,4.0,4.0
0,205,4.0,4.0
0,210,4.0,4.0
0,215,4.0,4.0
0,220,4.0,4.0
0,225,4.0,4.0
0,230,4.0,4.0
0,235,3.0,3.0
0,240,3.0,3.0
0,245,3.0,3.0
0,250,3.0,3.0
0,255,3.0,3.0
0,260,3.0,3.0
0,265,3.0,3.0
0,270,3.0,3.0
0,275,3.0,3.0
0,280,3.0,3.0
0,285,3.0,3.0
0,290,3.0,3.0
0,295,3.0,3.0
