id, time,pub0,sub
0,0,2.0,2.0
0,5,2.0,2.0
0,10,2.0,2.0
0,15,2.0,2.0
0,20,2.0,2.0
0,25,2.0,2.0
0,30,2.0,2.0
0,35,2.0,2.0
0,40,2.0,2.0
0,45,2.0,2.0
0,50,2.0,2.0
0,55,2.0,2.0
0,60,2.0,2.0
0,65,2.0,2.0
0,70,2.0,2.0
0,75,2.0,2.0
0,80,2.0,2.0
0,85,2.0,2.0
0,90,2.0,2.0
0,95,2.0,2.0
0,100,2.0,2.0
0,105,2.0,2.0
0,110,2.0,2.0
0,115,2.0,2.0
0,120,2.0,2.0
0,125,2.0,2.0
0,130,2.0,2.0
0,135,2.0,2.0
0,140,2.0,2.0
0,145,2.0,2.0
0,150,2.0,2.0
0,155,2.0,2.0
0,160,2.0,2.0
0,165,2.0,2.0
0,170,2.0,2.0
0,175,2.0,2.0
0,180,2.0,2.0
0,185,2.0,2.0
0,190,2.0,2.0
0,195,2.0,2.0
0,200,2.0,2.0
0,205,2.0,2.0
0,210,2.0,2.0
0,215,2.0,2.0
0,220,2.0,2.0
0,225,2.0,2.0
0,230,2.0,2.0
0,235,2.0,2.0
0,240,2.0,2.0
0,245,2.0,2.0
0,250,2.0,2.0
0,255,2.0,2.0
0,260,2.0,2.0
0,265,2.0,2.0
0,270,2.0,2.0
0,275,2.0,2.0
0,280,2.0,2.0
0,285,2.0,2.0
0,290,2.0,2.0
0,295,2.0,2.0
